prefill_chunk_size,kv_cache_size,batch_size,is_prefill,mean_ns,p50_ns,p90_ns,max_ns
0,416,15,False,293078,294950,307620,323280
0,416,16,False,292961,288200,311560,325940
0,416,17,False,291636,293000,306299,312350
0,416,18,False,291329,289880,308780,312770
0,416,19,False,289026,286020,306800,313260
0,416,20,False,288594,288990,305790,321410
0,416,21,False,292126,290990,308980,324670
0,416,22,False,289201,290200,306130,312780
0,416,23,False,289848,288810,314150,325710
0,416,24,False,291544,287630,310870,316060
0,416,25,False,294804,287980,318820,341240
0,416,26,False,291622,290640,308970,321910
0,416,27,False,296699,293270,323790,345200
0,416,28,False,291176,295730,305690,308590
0,416,29,False,289633,289080,309301,314369
0,416,30,False,295206,296850,306720,318340
0,416,31,False,306293,303490,327150,339060
0,416,32,False,304553,303470,323610,335930
0,448,1,False,305557,306640,319660,331050
0,448,2,False,305581,299180,327950,346770
0,448,3,False,306139,298360,329680,344850
0,448,4,False,308130,311420,323690,338870
0,448,5,False,308162,308860,326719,332450
0,448,6,False,307825,307430,320220,351340
0,448,7,False,310375,311750,330360,338371
0,448,8,False,309053,310000,328110,349100
0,448,9,False,307536,309690,320140,328960
0,448,10,False,288053,286040,308810,312480
0,448,11,False,289214,287790,309269,317620
0,448,12,False,290296,286530,315630,325770
0,448,13,False,290387,288270,314450,326200
0,448,14,False,291609,288860,310300,344830
0,448,15,False,290803,288590,310910,330860
0,448,16,False,298647,288130,327070,369400
0,448,17,False,289824,285590,319190,328800
0,448,18,False,286832,282660,306670,314130
0,448,19,False,287531,284480,306350,324580
0,448,20,False,290695,288890,314190,317100
0,448,21,False,295642,290510,317680,388010
0,448,22,False,289227,287810,309670,313220
0,448,23,False,288460,287820,306580,324960
0,448,24,False,288896,288360,311030,319200
0,448,25,False,294964,297190,307450,320351
0,448,26,False,310796,306220,327640,333310
0,448,27,False,311932,311930,328740,356800
0,448,28,False,312524,310400,337810,341710
0,448,29,False,308768,309890,329510,353860
0,448,30,False,306972,308470,330690,338010
0,448,31,False,308411,307040,328640,332950
0,448,32,False,289748,288830,311440,315220
0,480,1,False,313226,311060,331380,336670
0,480,2,False,315456,311660,336070,351550
0,480,3,False,320081,312610,345750,384660
0,480,4,False,314578,309730,332410,364600
0,480,5,False,317681,312270,337590,359450
0,480,6,False,317743,314660,335870,358180
0,480,7,False,318585,313280,338890,345960
0,480,8,False,314557,314620,333300,339220
0,480,9,False,316533,312180,332870,344660
0,480,10,False,315265,314590,332420,341470
0,480,11,False,316583,309920,343970,352680
0,480,12,False,317115,312310,337610,342370
0,480,13,False,316017,309880,338230,339460
0,480,14,False,322909,317780,337540,429630
0,480,15,False,319668,316760,341930,354160
0,480,16,False,319941,317360,343050,352630
0,480,17,False,312315,306940,334350,337850
0,480,18,False,313802,311790,332710,336990
0,480,19,False,315366,312650,338110,346780
0,480,20,False,313841,314090,333770,337570
0,480,21,False,313806,310610,336460,344240
0,480,22,False,315088,312400,335750,345950
0,480,23,False,288692,289460,309940,322190
0,480,24,False,286135,283740,308850,319450
0,480,25,False,288080,288660,303850,318170
0,480,26,False,309355,307560,323990,330560
